"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 07:53:25 GMT 2024","Fri Mar 22 07:53:26 GMT 2024","1177","Surefire suite","Surefire test","com.client.tests.board.DeleteBoardTests","com.client.tests.board.DeleteBoardTests","deleteBoard","TC003 - Delete a board",""
"passed","Fri Mar 22 07:53:21 GMT 2024","Fri Mar 22 07:53:22 GMT 2024","211","Surefire suite","Surefire test","com.client.tests.board.GetBoardTests","com.client.tests.board.GetBoardTests","getCreatedBoard","TC002 - Get a created board",""
"passed","Fri Mar 22 07:53:17 GMT 2024","Fri Mar 22 07:53:20 GMT 2024","2765","Surefire suite","Surefire test","com.client.tests.board.CreateBoardTests","com.client.tests.board.CreateBoardTests","createBoard","TC001 - Create a new board",""
