"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 02:32:13 GMT 2024","Fri Mar 22 02:32:16 GMT 2024","3052","Surefire suite","Surefire test","com.client.tests.board.CreateBoardTests","com.client.tests.board.CreateBoardTests","createBoard","TC001 - Create a new board",""
"passed","Fri Mar 22 02:32:18 GMT 2024","Fri Mar 22 02:32:18 GMT 2024","148","Surefire suite","Surefire test","com.client.tests.board.GetBoardTests","com.client.tests.board.GetBoardTests","getCreatedBoard","TC002 - Get a created board",""
"passed","Fri Mar 22 02:32:20 GMT 2024","Fri Mar 22 02:32:21 GMT 2024","1152","Surefire suite","Surefire test","com.client.tests.board.DeleteBoardTests","com.client.tests.board.DeleteBoardTests","deleteBoard","TC003 - Delete a board",""
