"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 08:20:05 GMT 2024","Tue Mar 19 08:20:06 GMT 2024","185","Surefire suite","Surefire test","com.client.tests.board.GetBoardTests","com.client.tests.board.GetBoardTests","getCreatedBoard","TC002 - Get a created board",""
"passed","Tue Mar 19 08:20:01 GMT 2024","Tue Mar 19 08:20:04 GMT 2024","2504","Surefire suite","Surefire test","com.client.tests.board.CreateBoardTests","com.client.tests.board.CreateBoardTests","createBoard","TC001 - Create a new board",""
"passed","Tue Mar 19 08:20:07 GMT 2024","Tue Mar 19 08:20:08 GMT 2024","1337","Surefire suite","Surefire test","com.client.tests.board.DeleteBoardTests","com.client.tests.board.DeleteBoardTests","deleteBoard","TC003 - Delete a board",""
